tp: 3495 hits; changed-file hits=app/main.py:122
sl: 2644 hits; changed-file hits=app/main.py:14
stop: 1378 hits; changed-file hits=app/main.py:61
take: 997 hits; changed-file hits=app/main.py:8
upper: 1905 hits; changed-file hits=app/main.py:163, tests/test_iteration171_nested_grid_count.py:4
lower: 2206 hits; changed-file hits=app/main.py:181, tests/test_iteration171_nested_grid_count.py:4
short: 2330 hits; changed-file hits=app/main.py:14, tests/test_iteration171_nested_grid_count.py:1
long: 2338 hits; changed-file hits=app/main.py:17, tests/test_iteration171_nested_grid_count.py:1
side: 1674 hits; changed-file hits=app/main.py:35
Buy: 522 hits; changed-file hits=app/main.py:1
Sell: 490 hits; changed-file hits=none
reduceOnly: 575 hits; changed-file hits=none
kill: 1444 hits; changed-file hits=app/main.py:66, tests/test_iteration171_nested_grid_count.py:2
leverage: 2766 hits; changed-file hits=app/main.py:182
pnl: 1164 hits; changed-file hits=app/main.py:55
roi: 174 hits; changed-file hits=none
risk: 4172 hits; changed-file hits=app/main.py:149
qty: 2160 hits; changed-file hits=app/main.py:230, tests/test_iteration171_nested_grid_count.py:10
grid_count: 353 hits; changed-file hits=app/main.py:47, tests/test_iteration171_nested_grid_count.py:3
estimated_active_orders: 62 hits; changed-file hits=app/main.py:3, tests/test_iteration171_nested_grid_count.py:3
